timestamp,details-v1,productpage-v1,ratings-v1,reviews-v1,reviews-v2,reviews-v3
2024-03-06 05:56:29,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:56:34,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:56:39,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:56:44,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:56:49,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:56:54,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:56:59,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:57:04,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:57:09,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:57:14,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:57:19,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:57:24,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:57:29,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:57:34,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:57:39,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:57:44,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:57:49,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:57:54,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:57:59,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:58:04,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:58:09,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:58:14,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:58:19,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:58:24,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:58:29,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:58:34,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:58:39,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:58:44,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:58:49,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:58:54,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:58:59,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:59:04,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:59:09,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:59:14,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:59:19,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:59:24,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:59:29,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:59:34,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:59:39,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:59:44,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:59:49,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:59:54,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:59:59,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 06:00:04,1.0,1.0,1.0,1.0,1.0,1.0
