,timestamp,checkoutservice-7d8cb45794-hc2rj&cpu_usage,checkoutservice-7d8cb45794-hc2rj&cpu_limit,checkoutservice-7d8cb45794-hc2rj&mem_usage,checkoutservice-7d8cb45794-hc2rj&mem_usage_rate,checkoutservice-7d8cb45794-hc2rj&fs_usage,checkoutservice-7d8cb45794-hc2rj&net_receive,checkoutservice-7d8cb45794-hc2rj&net_trainsmit,(node)192.168.31.101:9100_network,(node)192.168.31.101:9100_cpu,(node)192.168.31.101:9100_memory
5974,1658487828,0.201596593,0.2,163.078125,4.528190328,0.002953585,22.26086347,28.22764238,0.6574444444444445,0.1479086115991077,0.2225889171424319
5975,1658487833,0.199725374,0.2,163.078125,4.868118365,0.002953585,27.30928289,29.11920115,0.673,0.1470927452248482,0.2225281352886266
5976,1658487838,0.171758885,0.2,163.078125,4.690248281,0.003758485,28.88993465,29.70289558,0.673,0.1470927452248482,0.2225281352886266
5977,1658487843,0.176510389,0.2,165.1171875,4.180287258,0.003828608,27.30844663,30.67264592,0.673,0.1470927452248482,0.2225281352886266
5978,1658487848,0.151558897,0.2,165.1171875,6.164706642,0.004467593,27.30844663,30.67264592,0.64,0.1397453035953149,0.2225149588028367
5979,1658487853,0.186505054,0.2,167.1289063,6.667524901,0.004467593,26.54436513,28.49405313,0.64,0.1397453035953149,0.2225149588028367
5980,1658487858,0.172204191,0.2,167.1289063,5.601138689,0.003818624,25.60574396,27.48649007,0.64,0.1397453035953149,0.2225149588028367
5981,1658487863,0.172204191,0.2,167.1289063,5.589034739,0.003818624,22.54593163,28.07479678,0.5006,0.1106373397503933,0.2224995356351378
5982,1658487868,0.156511326,0.2,167.1289063,4.193616141,0.002855446,22.18330239,27.02149672,0.5006,0.1106373397503933,0.2224995356351378
5983,1658487873,0.117204684,0.2,167.6601563,2.922183446,0.001830891,17.58543426,25.83654663,0.5006,0.1106373397503933,0.2224995356351378
5984,1658487878,0.107173098,0.2,167.6601563,2.908698642,0.002660068,17.58543426,25.83654663,0.3326222222222222,0.0767078212447701,0.2225463516284284
5985,1658487883,0.096953811,0.2,167.6601563,1.882605474,0.002660068,8.41508761,23.6668037,0.3326222222222222,0.0767078212447701,0.2225463516284284
5986,1658487888,0.08570904,0.2,167.6601563,2.707668228,0.003442053,6.723508334,21.39286042,0.3326222222222222,0.0767078212447701,0.2225463516284284
5987,1658487893,0.049921076,0.2,167.6601563,1.720624277,0.002851009,3.536501932,18.40903903,0.2123777777777777,0.0522915291374902,0.2226244390050454
5988,1658487898,0.052598172,0.2,167.6640625,1.684474355,0.002352511,3.536501932,18.40903903,0.2123777777777777,0.0522915291374902,0.2226244390050454
5989,1658487903,0.051545872,0.2,167.6640625,0.014008479,0.002960523,2.737393356,18.63199506,0.2123777777777777,0.0522915291374902,0.2226244390050454
5990,1658487908,0.048651877,0.2,167.6679688,0.014078605,0.002416578,2.723210401,16.81939614,0.2079777777777777,0.0572640211194408,0.2220418804581846
5991,1658487913,0.04591622,0.2,164.421875,3.151638331,0.002153091,2.723210401,16.81939614,0.2079777777777777,0.0572640211194408,0.2220418804581846
5992,1658487918,0.04879613,0.2,164.421875,3.538399693,0.0,2.723210401,16.81939614,0.2079777777777777,0.0572640211194408,0.2220418804581846
5993,1658487923,0.049819029,0.2,164.421875,3.538440356,0.0,3.398011853,16.25117467,0.2341111111111111,0.0808432888263438,0.2212078757009268
5994,1658487928,0.054248601,0.2,178.9960938,3.488565129,0.0,3.398011853,16.25117467,0.2341111111111111,0.0808432888263438,0.2212078757009268
5995,1658487933,0.054015065,0.2,178.9960938,4.793637292,0.0,3.624562727,16.22820798,0.2341111111111111,0.0808432888263438,0.2212078757009268
5996,1658487938,0.057294346,0.2,178.9960938,5.455875452,0.0,3.624562727,16.22820798,0.2583555555555555,0.101123437521805,0.2206953286200375
5997,1658487943,0.06268966,0.2,184.265625,3.735463382,0.001087453,6.023832559,16.96347727,0.2583555555555555,0.101123437521805,0.2206953286200375
5998,1658487948,0.066310161,0.2,184.265625,3.735463382,0.001087453,6.492613163,15.20100475,0.2583555555555555,0.101123437521805,0.2206953286200375
5999,1658487953,0.06305836,0.2,184.265625,2.53025593,0.001087453,7.934754859,18.57745768,0.3213999999999999,0.1188157765319865,0.2209156856105063
6000,1658487958,0.087579731,0.2,185.03125,1.162923124,0.001095344,7.934754859,18.57745768,0.3213999999999999,0.1188157765319865,0.2209156856105063
6001,1658487963,0.095349003,0.2,185.03125,1.139952926,0.001095344,10.61605931,24.10032739,0.3213999999999999,0.1188157765319865,0.2209156856105063
6002,1658487968,0.102882572,0.2,184.5625,2.675493232,0.001119172,12.92701165,26.16298989,0.3951111111111111,0.1234111880447689,0.2208334691968677
6003,1658487973,0.111675278,0.2,185.25,3.188298891,0.000849831,12.92701165,26.16298989,0.3951111111111111,0.1234111880447689,0.2208334691968677
6004,1658487978,0.137758465,0.2,185.25,3.188298891,0.000849831,14.16116773,21.34842497,0.3951111111111111,0.1234111880447689,0.2208334691968677
6005,1658487983,0.146147669,0.2,185.2890625,2.617360055,0.0,13.46720393,19.01863812,0.4797333333333333,0.1312889988194669,0.221045750276691
6006,1658487988,0.145686887,0.2,185.4296875,3.011672847,0.0,16.38495474,23.13914057,0.4797333333333333,0.1312889988194669,0.221045750276691
6007,1658487993,0.129475253,0.2,185.4296875,2.897843139,0.000599084,13.6479846,19.27393997,0.4797333333333333,0.1312889988194669,0.221045750276691
6008,1658487998,0.144106221,0.2,185.484375,2.757854423,0.000599084,12.2825717,17.34567825,0.5253111111111111,0.134458746570976,0.2211936062347487
6009,1658488003,0.157603975,0.2,186.578125,3.34430168,0.000880207,17.03100716,20.93343835,0.5253111111111111,0.134458746570976,0.2211936062347487
6010,1658488008,0.164010451,0.2,187.5117188,2.757990229,0.002432993,17.03100716,20.93343835,0.5253111111111111,0.134458746570976,0.2211936062347487
6011,1658488013,0.163961993,0.2,187.4179688,4.091762175,0.002432993,16.88754022,22.87569436,0.5358888888888889,0.1364147864741376,0.2212163766595009
6012,1658488018,0.158551454,0.2,187.4179688,1.616849702,0.003282641,16.88754022,22.87569436,0.5358888888888889,0.1364147864741376,0.2212163766595009
6013,1658488023,0.160016768,0.2,187.6796875,1.61174395,0.002815128,16.67847021,28.36235048,0.5358888888888889,0.1364147864741376,0.2212163766595009
6014,1658488028,0.159187197,0.2,187.6796875,1.618764168,0.003010051,16.67847021,28.36235048,0.524911111111111,0.1361520831282509,0.2214183351467699
6015,1658488033,0.16296255,0.2,187.8164063,1.445860794,0.002634765,16.2244536,26.49095546,0.524911111111111,0.1361520831282509,0.2214183351467699
6016,1658488038,0.166196537,0.2,186.59375,3.332236714,0.002014872,11.7022013,18.85468327,0.524911111111111,0.1361520831282509,0.2214183351467699
6017,1658488043,0.162912505,0.2,186.59375,3.784509707,0.002014872,13.01041875,20.96249402,0.4998888888888889,0.1371463887406481,0.2214502744625557
6018,1658488048,0.160314955,0.2,185.4492188,5.351231308,0.0,16.26902494,24.35086927,0.4998888888888889,0.1371463887406481,0.2214502744625557
6019,1658488053,0.155208939,0.2,185.4492188,5.351231308,0.002220582,16.26902494,24.35086927,0.4998888888888889,0.1371463887406481,0.2214502744625557
6020,1658488058,0.155011914,0.2,185.4492188,4.495390804,0.003039519,16.26902494,24.35086927,0.5024,0.1362563569444038,0.2215853182616195
6021,1658488063,0.144899451,0.2,185.4609375,2.953824786,0.003039519,16.44750363,23.2592731,0.5024,0.1362563569444038,0.2215853182616195
6022,1658488068,0.126583612,0.2,185.4609375,3.996128612,0.003364346,16.44750363,23.2592731,0.5024,0.1362563569444038,0.2215853182616195
6023,1658488073,0.14713359,0.2,186.8710938,3.342579324,0.003168847,17.08030543,23.72784234,0.5117777777777777,0.1369653195438036,0.2216197471438449
6024,1658488078,0.147624579,0.2,186.8710938,3.342633257,0.003168847,16.54850611,24.34914546,0.5117777777777777,0.1369653195438036,0.2216197471438449
6025,1658488083,0.144597196,0.2,186.8671875,2.059687034,0.00304829,16.54850611,24.34914546,0.5117777777777777,0.1369653195438036,0.2216197471438449
6026,1658488088,0.14133679,0.2,187.1171875,1.721462617,0.003223804,16.49710688,25.36913824,0.5196888888888889,0.1349405046554685,0.221531640780337
6027,1658488093,0.14133679,0.2,187.1171875,0.930175038,0.000909827,16.19626539,26.46371198,0.5196888888888889,0.1349405046554685,0.221531640780337
6028,1658488098,0.129232589,0.2,187.2460938,0.650484878,0.0,16.02023775,27.34696069,0.5196888888888889,0.1349405046554685,0.221531640780337
6029,1658488103,0.129896254,0.2,187.1210938,2.66769348,0.0,16.02023775,27.34696069,0.5257555555555556,0.1350727574655984,0.2216827149584263
6030,1658488108,0.138219151,0.2,187.1210938,2.986828364,0.0,13.71984106,24.95021412,0.5257555555555556,0.1350727574655984,0.2216827149584263
6031,1658488113,0.132960338,0.2,187.0039063,3.986698971,0.0,15.9757498,23.88051852,0.5257555555555556,0.1350727574655984,0.2216827149584263
6032,1658488118,0.138894343,0.2,187.0039063,4.440729769,0.0,15.9757498,23.88051852,0.5201111111111111,0.1337902306534474,0.2217966278033201
6033,1658488123,0.145874474,0.2,187.1875,3.26596277,0.0,13.81979448,19.61715414,0.5201111111111111,0.1337902306534474,0.2217966278033201
6034,1658488128,0.149622162,0.2,185.8671875,4.021865281,0.000624024,12.46473554,17.69365229,0.5201111111111111,0.1337902306534474,0.2217966278033201
6035,1658488133,0.159581775,0.2,184.3554688,6.966702681,0.00253587,11.10967659,15.77015045,0.5386222222222221,0.1563305128891452,0.2218592312911055
6036,1658488138,0.16205741,0.2,184.3554688,6.966702681,0.00253587,16.30862646,23.75578961,0.5386222222222221,0.1563305128891452,0.2218592312911055
6037,1658488143,0.144818398,0.2,184.5898438,5.317914216,0.003333152,16.30862646,23.75578961,0.5386222222222221,0.1563305128891452,0.2218592312911055
6038,1658488148,0.158297062,0.2,184.6289063,4.858532384,0.002675813,16.41631696,23.32334325,0.5381111111111111,0.1575051366488042,0.2218925671929427
6039,1658488153,0.176950281,0.2,184.6289063,4.858532384,0.00286787,16.41631696,23.32334325,0.5381111111111111,0.1575051366488042,0.2218925671929427
6040,1658488158,0.178269488,0.2,184.6445313,3.645855561,0.003324064,16.21812443,27.43128381,0.5381111111111111,0.1575051366488042,0.2218925671929427
6041,1658488163,0.161256766,0.2,184.53125,6.191971695,0.003324064,15.83762359,27.89875188,0.5202,0.1560108059431246,0.2219179486263999
6042,1658488168,0.170140005,0.2,184.53125,7.017860295,0.001658399,15.83762359,27.89875188,0.5202,0.1560108059431246,0.2219179486263999
6043,1658488173,0.165589249,0.2,184.5507813,6.48168644,0.0,9.026196289,16.99562988,0.5202,0.1560108059431246,0.2219179486263999
6044,1658488178,0.17164361,0.2,184.5546875,5.743229635,0.0,9.026196289,16.99562988,0.5215333333333333,0.1339102293512036,0.2218069503958744
6045,1658488183,0.170734687,0.2,184.5546875,4.484922475,0.002768419,15.47225377,24.92568278,0.5215333333333333,0.1339102293512036,0.2218069503958744
6046,1658488188,0.15756897,0.2,184.578125,5.779296903,0.002972085,15.47225377,24.92568278,0.5215333333333333,0.1339102293512036,0.2218069503958744
6047,1658488193,0.149936707,0.2,185.140625,4.960675022,0.003917419,15.47225377,24.92568278,0.4805777777777777,0.1317377907223296,0.2219378651579165
6048,1658488198,0.153440011,0.2,185.5664063,4.225881737,0.002855487,12.21074199,18.90778568,0.4805777777777777,0.1317377907223296,0.2219378651579165
6049,1658488203,0.14973376,0.2,185.5664063,1.761752432,0.003325984,10.93608104,16.93403045,0.4805777777777777,0.1317377907223296,0.2219378651579165
6050,1658488206,0.160350679,0.5,216.1367188,5.473852923,0.019992373,10.17128448,15.7497773,0.491,0.1353529386945848,0.2251610036013096
6051,1658488211,0.160350679,0.5,216.1367188,4.622195216,0.0,14.90328069,21.64189523,0.491,0.1353529386945848,0.2251610036013096
6052,1658488216,0.14451334,0.5,216.15625,4.652356558,0.0,14.90328069,21.64189523,0.491,0.1353529386945848,0.2251610036013096
6053,1658488221,0.148120689,0.5,216.15625,5.216643103,0.0,14.40333806,22.39187321,0.470511111111111,0.1368144157326055,0.22338430325931
